"BehaviorSpace results (NetLogo 6.2.0)"
"code (4).nlogo"
"WaitingTime"
"01/28/2021 15:45:31:492 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","distancing?","spread-decease?","threshold-attendance","numberOfPeople","max-patience","r-distance","[step]","waitingTime"
"2","true","false","6","121","50","1.5","36","0"
"1","true","false","6","121","50","1.5","40","0"
"4","true","false","6","121","100","1.5","53","0"
"6","true","false","6","121","100","1.5","48","0"
"3","true","false","6","121","50","1.5","41","0"
"5","true","false","6","121","100","1.5","44","0"
"6","true","false","6","121","100","1.5","49","0"
"4","true","false","6","121","100","1.5","54","0"
"2","true","false","6","121","50","1.5","37","0"
"5","true","false","6","121","100","1.5","45","0"
"1","true","false","6","121","50","1.5","41","0"
"6","true","false","6","121","100","1.5","50","0"
"4","true","false","6","121","100","1.5","55","0"
"2","true","false","6","121","50","1.5","38","0"
"5","true","false","6","121","100","1.5","46","0"
"1","true","false","6","121","50","1.5","42","0"
"6","true","false","6","121","100","1.5","51","0"
"3","true","false","6","121","50","1.5","42","0"
"4","true","false","6","121","100","1.5","56","0"
"2","true","false","6","121","50","1.5","39","0"
"6","true","false","6","121","100","1.5","52","0"
"5","true","false","6","121","100","1.5","47","0"
"1","true","false","6","121","50","1.5","43","0"
"4","true","false","6","121","100","1.5","57","0"
"6","true","false","6","121","100","1.5","53","0"
"3","true","false","6","121","50","1.5","43","0"
"2","true","false","6","121","50","1.5","40","0"
"6","true","false","6","121","100","1.5","54","0"
"5","true","false","6","121","100","1.5","48","0"
"4","true","false","6","121","100","1.5","58","0"
"1","true","false","6","121","50","1.5","44","0"
"3","true","false","6","121","50","1.5","44","0"
"5","true","false","6","121","100","1.5","49","0"
"6","true","false","6","121","100","1.5","55","0"
"4","true","false","6","121","100","1.5","59","0"
"1","true","false","6","121","50","1.5","45","0"
"2","true","false","6","121","50","1.5","41","0"
"4","true","false","6","121","100","1.5","60","0"
"3","true","false","6","121","50","1.5","45","0"
"6","true","false","6","121","100","1.5","56","0"
"5","true","false","6","121","100","1.5","50","0"
"2","true","false","6","121","50","1.5","42","0"
"1","true","false","6","121","50","1.5","46","0"
"4","true","false","6","121","100","1.5","61","0"
"5","true","false","6","121","100","1.5","51","0"
"6","true","false","6","121","100","1.5","57","0"
"3","true","false","6","121","50","1.5","46","0"
"2","true","false","6","121","50","1.5","43","0"
"1","true","false","6","121","50","1.5","47","0"
"4","true","false","6","121","100","1.5","62","0"
"6","true","false","6","121","100","1.5","58","0"
"2","true","false","6","121","50","1.5","44","0"
"5","true","false","6","121","100","1.5","52","0"
"3","true","false","6","121","50","1.5","47","0"
"4","true","false","6","121","100","1.5","63","0"
"6","true","false","6","121","100","1.5","59","0"
"5","true","false","6","121","100","1.5","53","0"
"2","true","false","6","121","50","1.5","45","0"
"5","true","false","6","121","100","1.5","54","0"
"4","true","false","6","121","100","1.5","64","0"
"6","true","false","6","121","100","1.5","60","0"
