BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,
code (4).nlogo,,,,,,,,,,
masks2,,,,,,,,,,
01/29/2021 13:41:21:650 +0100,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,
-16,16,-16,16,,,,,,,
[run number],distancing?,percent-wearing-masks,threshold-attendance,numberOfPeople,spread-decease?,probability-spreading,max-patience,r-distance,[step],"count people with [status = ""infected""]"
4,TRUE,50,6,121,TRUE,0.5,100,1.5,23,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,27,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,22,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,24,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,28,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,26,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,23,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,27,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,29,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,24,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,28,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,30,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,28,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,25,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,25,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,29,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,31,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,29,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,26,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,30,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,26,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,32,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,30,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,31,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,27,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,31,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,33,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,32,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,28,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,32,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,33,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,34,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,29,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,33,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,27,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,34,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,35,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,30,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,35,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,28,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,31,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,36,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,29,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,34,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,36,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,32,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,30,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,37,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,35,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,33,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,38,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,37,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,31,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,36,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,38,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,32,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,39,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,34,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,39,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,35,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,40,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,33,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,37,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,36,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,40,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,41,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,38,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,34,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,41,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,37,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,39,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,42,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,40,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,38,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,42,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,41,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,43,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,39,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,43,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,44,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,35,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,42,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,44,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,45,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,43,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,45,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,40,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,36,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,44,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,46,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,37,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,41,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,46,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,38,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,45,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,47,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,42,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,47,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,46,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,48,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,39,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,43,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,47,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,49,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,48,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,40,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,44,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,50,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,49,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,48,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,45,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,41,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,50,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,49,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,46,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,42,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,51,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,50,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,47,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,51,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,52,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,51,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,53,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,52,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,52,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,48,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,43,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,44,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,49,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,53,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,54,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,53,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,50,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,54,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,45,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,54,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,51,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,55,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,46,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,55,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,52,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,55,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,47,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,53,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,56,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,56,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,48,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,54,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,57,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,57,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,49,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,56,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,58,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,55,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,59,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,56,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,50,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,60,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,57,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,58,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,61,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,62,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,58,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,59,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,57,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,59,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,51,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,60,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,58,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,60,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,52,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,59,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,63,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,61,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,53,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,61,2
